measure,notes,id,acronym,full_name,domain,table_name,construct,concatenated,visits,type,child_specific,respondent_category,respondent,administration,admin_notes,remote,duration,qc,hbcd_mods,scoring,alert1_title,alert1,alert2_title,alert2,alert3_title,alert3,warning1_title,warning1,warning2_title,warning2,warning3_title,warning3,warning4_title,warning4,warning5_title,warning5,Column 29
2-item Food Insecurity,,foodins,USDA short form,2-item Food Insecurity,Social & Environmental Determinants,sed_cg_foodins,Food Insecurity,,"V02, V03",Parent Survey,No,Parent on Self,Birth Parent or Primary Caregiver,,,remote,1 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification when needed, and data consistency.","This measure was modified slightly for HBCD to use gender-neutral terms (children are referred to as “the child” in place of gendered pronouns) as well as inclusion of ""Don't know"" as a response option to survey questions",,,,,,,,,Researchers should be aware that the validated measure uses Yes/No answers and does not account for missing data.,,,,,,,,,
Adverse Childhood Experiences,aces & ped aces,aces,ACEs,Adverse Childhood Experiences (Adult),Social & Environmental Determinants,sed_cg_ace,Adverse Childhood Experiences (Caregiver),,V04,Parent Survey,No,Parent on Self,Birth Parent or Primary Caregiver,,,in-person,2 min,"QC is minimal as participants only report the total number of ACE events. Declines in ACE scores at later visits should be interpreted cautiously, as they may reflect inconsistent or inaccurate responding.",,,,"This variable was only collected as a total ACE count, which means the specific items participants experienced are unknown. Total ACE counts are strongly associated with a variety of health-related outcomes, and we used this data collection strategy to encourage more accurate reporting. Total ACE counts should not be considered indexes of childhood neglect and maltreatment because not all ACE items reflect this. It would be inappropriate to conclude that higher total ACE counts in specific populations reflect increased child abuse, for example.",,,,,,,,,,,,,,,
"Alcohol, Smoking and Substance Involvement Screening Test V1-V4",MANUAL,assist,ASSIST V1-V4,"Alcohol, Smoking and Substance Involvement Screening Test V1-V4","Pregnancy & Exposure, Including Substance Use",pex_bm_assist{v1|v2|v3|v4},ASSIST substance use assessment across visits: V1 : Pre-pregnancy and during pregnancy V2 : Late pregnancy and early postnatal (0–4 weeks) V3 : Postpartum (3-month anchor) V4 : Postpartum (12-month anchor),,V01 - V04,Parent Interview,No,Parent on Self,Pregnant Participant or Birth Parent (as applicable),,Self-administered in Alabama,in-person,3-5 min,"Response distributions are reviewed for outliers. For V1-V2, responses are cross-checked with TLFB for consistency in reported substance use.",,"For each substance, participants indicate whether they had ever used it and, if endorsed, frequency of use with options: 0 (Never), 1 (Once or Twice), 2 (Monthly), 3 (Weekly), or 4 (Daily or Almost Daily). For substances reported as used pre-pregnancy, during pregnancy, and end-pregnancy, participants were asked about modes of use and typical quantities/amounts of consumption for alcohol and opioids (if applicable).",V1 & V2,"Responsible use of prenatal drug exposure data requires thoughtful interpretation of exposure-related outcomes in the context of measured and unmeasured confounders. These confounders include, but are not limited to, phenotypic risks associated with persistent alcohol, tobacco, and other drug use during pregnancy by birthing parents (<a href=""https://doi.org/10.1111/j.1521-0391.2010.00110.x"">Massey et al., 2010</a>), and confounding by familial risk from within-family studies (<a href=""https://doi.org/10.1007/s10519-015-9762-2"">Estabrook et al., 2016</a>).</p>
<p>Finally, unwarranted speculation about ‘neural bases of behavior’ form differences in neuroimaging between exposed and unexposed children in the absence of differences in behavioral performance can exacerbate stigma already faced by birthing parents with substance use disorders and their children (<a href=""https://doi.org/10.1016/j.ntt.2015.07.002"">McAllister & Hart 2015</a>).",,,,,,"It was difficult for some participants to self-report the typical size of a single drink (in oz) to capture ‘standard drinks’ of alcohol for ASSIST, leading to some reports falling outside the expected range. Similarly, reporting the frequency of use for substances like electronic cigarette devices proved difficult, resulting in outliers. While sites were queried on these outliers, participants could not always be re-contacted for clarification.",,,,,,,,,
Anthropometrics,,growth,,Anthropometrics <i>(Height/Weight/Head Circumference)</i>,Physical Health,ph_ch_anthro,Growth,,"V02, V03, V04, V06, V08",Direct Assessment,Yes,,,HBCD Study Staff,,in-person,5 min,"Monitor data dashboard for variable missingness, possible coding errors, and data consistency.",,"<b>Anthropometric Z-Score and Percentile Calculations</b>
 Age-based z-scores and percentiles for growth measurements were calculated for V02 onward using the <a href=""https://github.com/CDC-DNPAO/WHOanthro"">WHOanthro</a> R package. Calculations are based on estimated date of delivery, inherently adjusting for pre-mature birth. WHO growth charts were used for participants &lt;2 years old, and CDC growth charts were used for participants 2 years and older.",,,,,,,Range Checks For Growth,,Sex-Specific Birthweight for Gestational Age," Sex-specific birthweight for gestational age centiles and z-scores will be calculated in future data releases using Intergrowth curves (<a href=""https://doi.org/10.1016/S0140-6736(14)60932-6"">Villar et al. 2014</a>). In the meantime, data users can use these growth curves or ones of their choice to calculate centiles and small/large for gestational age variables.",,,,,,,
APA 1/2,,apa,APA 1/2,DSM-5 Self-Rated Level 1/2 Cross-Cutting Symptom Measure—Adult,"Pregnancy & Exposure, Including Substance Use",pex_bm_apa,Mental Health,,"V01, V02, V03",Parent Survey,No,Parent on Self,Pregnant Participant/Birth Parent (as applicable) or Primary Caregiver,,,either,5 min,"Checks for missing data based on counts for items completed by each participant; Verification of scoring accuracy.
Summary statistics to examine item-level frequencies and total scores; Review of response distributions for potential outliers.",,,,,,,,,Consideration of Mental Health Symptoms Experienced During Pregnancy,"The co-occurrence of psychiatric symptoms and substance use during pregnancy is well-documented (<a href=""https://doi.org/10.1111/j.1521-0391.2010.00110.x"">Massey et al., 2011</a>, <a href=""https://doi.org/10.1016/j.addbeh.2012.04.002"">Massey et al., 2012</a>). Phenotypic risk in birthing parents may affect offspring neurodevelopment through both prenatal and postnatal mechanisms, beyond direct exposure alone (<a href=""https://doi.org/10.1007/s10519-015-9762-2"">Estabrook et al., 2016</a>, <a href=""https://doi.org/10.1016/j.ntt.2015.11.010"">Massey et al., 2016</a>, <a href=""https://doi.org/10.1016/j.ntt.2018.02.003"">Massey et al., 2018</a>). These factors may confound associations between exposures and neuroimaging or neurodevelopmental outcomes, but they also represent malleable targets for prevention and early intervention. When possible, incorporating parental mental health symptoms as covariates offers a robust strategy to account for these confounding influences.
",,,,,,,,,
Baby's First Years,,bfy,BFY,Baby's First Years,Social & Environmental Determinants,sed_bm_bfy,"Benefits/Services, Economic Stress",,"V01, V05, V07",Parent Interview,No,Parent on Self,,HBCD Study Staff,,in-person,4 min,"Data dashboard was monitored for variable missingness, possible coding errors, scoring verification when needed, and data consistency.","<ul>  <li>Removed Medicaid coverage item (collected elsewhere in the HBCD Study).</li>  <li>Updates to instruction text for receipt of services items (“Have you received any of these services in the past 12 months?”) and added response option (“Free or reduced school lunch”).</li>  <li>Updated eviction instruction: “In the past 12 months, have you EVER been forced to leave or were evicted from your home?”</li>  <li>Added response options across items: “Don’t know” and “Decline to answer.”</li></ul>",,,,,,,,,,,,,,,,,,
Basic Demographics,,basic_demo,,Basic Demographics,Demographics,sed_basic_demographics,Demographics data derived from multiple sources,,,Derived Data,,,,,,,,,,,,"When using HBCD data, all data users must agree to responsible use as described in the DUC. When conceptualizing studies, analyzing data, and communicating findings from studies that use variables such as race, ethnicity, country of origin, and socioeconomic data, it is critical to consider strategies to avoid stigmatization of any groups and perpetuating harmful biases.

Race and ethnicity are collected as a part of the HBCD protocol to reflect social experiences (i.e., representing social constructs), and should not be conceptualized as biological, natural, intrinsic, or fixed categories of people. In addition, researchers sometimes use race/ethnicity variables as a proxy for unmeasured social experiences or environmental exposures. HBCD measures a wide variety of social experiences and environmental exposures. In analyzing HBCD data, race/ethnicity should not be used as a proxy for measured variables.",,,,,,,,,,,,,,,
"Bayley Scales of Infant and Toddler Development, Fourth Edition",,bayley_4,Bayley-4,"Bayley Scales of Infant and Toddler Development, Fourth Edition",Neurocognition & Language,ncl_ch_bayley,"Child Development (Cognitive, Language, and Motor)",,V04,Parent Interview,Yes,Parent on Child,,,,in-person,60-90 min,"HBCD Study staff were trained and certified by experienced Bayley administrators to ensure adherence to standardized procedures.
During testing, responses were entered into QGlobal (Pearson’s official scoring platform for the Bayley Scales), which automatically applied scoring rules and generated standardized scores.
Data underwent quality checks at both the individual and cohort levels, including range and consistency checks, to identify potential errors or deviations.
Completion rates were monitored across sites, with additional training provided when needed.",,"Bayley scores are generated automatically using QGlobal, Pearson’s official scoring platform for the Bayley Scales. Scores reflect the standardized scoring procedures implemented by Pearson, and no additional manual scoring or modification is applied.",,"Performance of the Bayley Scales of Infant and Toddler Development, Fourth Edition, reflects the child's developmental status, but various factors might influence the results of the assessment that should be taken into account.",,The test was given in the context of a battery of tests and procedures administered to the child and his/her caregiver during the course of an extended visit. Some children may experience fatigue from this and this may have adversely impacted their performance. Ratings of arousal level of the child before and after the assessment may help in identifying situations where the child may have under-performed.,,"The child's exposure to different languages may also impact their performance. The Multilingual Language Development questionnaire was used to screen for parental preference for the test to be administered in Spanish or English (Spanish language translations used are available upon request). The instrument also documents other language exposures that the child may have. Exposure to languages other than Spanish or English may impact a child's performance. In addition, some items on the test may be impacted by environmental experiences related to the task or items used. In these cases, the test may underestimate the child's developmental status.",Missing Records,"A subset of participants are missing the Bayley-4 records, i.e. the <b>Administration</b> field (<code>ncl_ch_bayley_administration</code>) has a value of 'None.' However, there are a variety of reasons why the data may be missing, therefore a value of 'None' does not mean that the Bayley was not administered. These data will be added in future releases as it becomes available.",Limited Predictive Validity for Long-Term Neurocognitive Status,"Although the Bayley Scales of Infant and Toddler Development, Fourth Edition, is a well-established and validated measure of infant development, tests of this nature have historically had limited predictive validity for long-term neurocognitive status.",,,,,,,
Breast Feeding History,,bfh,PHENX BF,Breast Feeding History,Physical Health,ph_cg_phx__bfh,Nutrition,,"V02, V03, V04, V06, V08 V08 (only administered if still breastfeeding at prior visit)",Parent Survey,Yes,Parent on Child,,Self-administered remotely,,remote,1 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification when needed, and data consistency.",,,,,,,,,,"Breast feeding history is obtained via self-report, so is vulnerable to recall bias concerning the timing of starting and/or stopping breast feeding. In addition, as the data is obtained via a survey, it is likely that missing data will need to be statistically addressed during analysis.",,,,,,,,,
Brief Infant Sleep Questionnaire,,bisq,BISQ-SF,Brief Infant Sleep Questionnaire- Short Form,Physical Health,ph_cg_bisq,Sleep,,V04,Parent Survey,Yes,Parent on Child,,,,remote,5 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification when needed, and data consistency.","When the child is mentioned, pronouns were changed from ""he/she"" to “the child” or gender-neutral pronouns for gender neutrality.","The BISQ-SF is scored in collaboration with the instrument developers (<a href=""https://www.babysleep.com/BISQ/"">https://www.babysleep.com/BISQ/</a>). Parent responses are uploaded to the Baby Sleep team who scores the instrument utilizing a proprietary algorithm and then sends scores back to the HBCD data team. Note that the BISQ-R SF (short form) includes 19 scored questions and one additional sleep duration question which is not scored.

<b>From <a href=""http://babysleep.com"">babysleep.com</a></b>: Scores on each subscale and the total score are scaled from 0 to 100, with higher scores denoting better sleep quality, more positive perception of infant sleep, and parent behaviors that promote healthy and independent sleep. The Total score (T) is computed from the average of the 3 subscale scores.",,,,,,,Incomplete Summary Scores,"Item-level responses are provided for the whole cohort; summary scores are present for all participants except those with data obtained in the month prior to the cutoff date for data inclusion (June 1st, 2025). Summary scores from <a href=""http://babysleep.com"">babysleep.com</a> will be available in subsequent releases.",Spanish Administration,Note that it is not currently possible to determine which participants were administered the Spanish version of the BISQ; a language field will be added in a future release.,Appropriate Use,Scores are for research purposes only and are not for individual dissemination or clinical use.,,,,,
Child Demographics,,demographics_ch,,Child Demographics,Social & Environmental Determinants,sed_bm_demo_child,Child Demographics,,"V04, V06",Parent Interview,Yes,Parent on Child,,,,,10 min,"Data dashboard was monitored for variable missingness, coding errors, and data consistency. High missingness was noted for income: this is in line with expectations.",,,,,,,,,,,,,,,,,,,
Composite Abuse Scale Revised - Short Form,,cabr_sf,CABr-SF,Composite Abuse Scale Revised - Short Form,Social & Environmental Determinants,sed_cg_cabr_sf,Intimate Partner Violence,,"V04, V06",Parent Survey,No,Parent on Child,Birth Parent or Primary Caregiver,Self-administered in person in a private setting,,in-person,2 min,"Scoring verification, data consistency checks, and checks for missingness.","Language was updated to use gender-neutral terminology in the definition of intimate partner in the methods section (e.g.,""Current or former husband, partner or boyfriend/girlfriend"" was replaced with ""spouse, partner, significant other""). Researcher should consider noting this in publications using this data.

“Don’t know” and “Decline to answer” were added as response options for HBCD.","The CABr-SF has 16 questions. Question 1 is a gateway (""Have you ever been in an intimate relationship?""). Questions 2–16 (15 items) are abuse experience items. The summary score is computed as the mean of the abuse experience responses (questions 2-16), multiplied by 15; summary scores are only calculated if participants responded to at least 11 of the 15 abuse experience items. Note that in the updated scoring procedures, ""Don’t Know"" and ""Decline to answer"" are regarded as missing or non-responses.",,,,,,,,"Users should not attempt to create their own summary scores when less than 11 items are answered. Please refer to <a href="""">Ford-Gilboe et al. 2016</a> for scoring guidance.",,,,,,,,,
"Confusion, Hubbub and Order Scale",,chaos,CHAOS,"Confusion, Hubbub and Order Scale",Behavior & Caregiver-Child Interactions,mh_cg_chaos,Family Organization,,"V05, V07",Parent Survey,Yes,Parent on Child,Primary Caregiver,,,remote,4-8 min,"Assess missingness (items completed per participant).
Verify scoring accuracy.
Review summary statistics (item frequencies, total scores).
Inspect response distributions for outliers.",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables — especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers — to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.",,,,,,,,,,,,,,,
Current Employment,,employment,,Current Employment,Social & Environmental Determinants,sed_cg_employ,Current Employment,,V05,Parent Survey,Yes,Parent on Self,Birth Parent or Primary Caregiver,Self-administered in-person or remotely,,either,5 min,Data were inspected for missing response and proportions.,,,,,,,,,,,,,,,,,,,
Demographics (Adult),,demographics,,Demographics (Adult),Social & Environmental Determinants,sed_bm_demo,Demographics (Birth Parent/Alternative Caregiver),,"V01, V04, V06",Parent Interview,No,Parent on Self,Birth Parent or Primary Caregiver,,,,10 min,"Data dashboard was monitored for variable missingness, coding errors, and data consistency. High missingness was noted for income: this is in line with expectations.",,,,,,,,,,,,,,,,,,,
DSM5 Severity Acute Stress or PTSD,,ptsd,PTSD/Acute Stress,National Stressful Events Survey- PTSD Short Scale/Acute Stress Disorder,"Pregnancy & Exposure, Including Substance Use",pex_bm_str__ptsd,PTSD/Acute Stress Disorder Symptom Severity,,"V01, V02, V03",Parent Survey,No,Parent on Self,Pregnant Participant/Birth Parent (as applicable) or Primary Caregiver,Self-administered in-person or remotely,,either,3 min,"Checks for missing data based on counts for items completed by each participant.
Verification of scoring accuracy.
Summary statistics to examine item-level frequencies and total scores.
Review of response distributions for potential outliers.","In the HBCD study, a ‘Decline to answer’ option was added to all items. A ‘Don’t know’ option was also available early in data collection, but was later removed.",,Consideration of Mental Health Symptoms Experienced During Pregnancy,"The co-occurrence of psychiatric symptoms and substance use during pregnancy is well-documented (<a href=""https://doi.org/10.1111/j.1521-0391.2010.00110.x"">Massey et al., 2011</a>, <a href=""https://doi.org/10.1016/j.addbeh.2012.04.002"">Massey et al., 2012</a>). Phenotypic risk in birthing parents may affect offspring neurodevelopment through both prenatal and postnatal mechanisms, beyond direct exposure alone (<a href=""https://doi.org/10.1007/s10519-015-9762-2"">Estabrook et al., 2016</a>, <a href=""https://doi.org/10.1016/j.ntt.2015.11.010"">Massey et al., 2016</a>, <a href=""https://doi.org/10.1016/j.ntt.2018.02.003"">Massey et al., 2018</a>). These factors may confound associations between exposures and neuroimaging or neurodevelopmental outcomes, but they also represent malleable targets for prevention and early intervention. When possible, incorporating parental mental health symptoms as covariates offers a robust strategy to account for these confounding influences.",,,,,,,,,,,,,,,
Early Regulation in Context Assessment,2 files,erica,ERICA,Early Regulation in Context Assessment,Behavior & Caregiver-Child Interactions,"mh_cg_erica_3_9m (Primary coding data file)
mh_cg_erica_rel_3_9m (Reliability codes)","Emotional Regulation, Parenting, Caregiver-Child Relationship",,V03,Parent Interview,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff,,in-person,20-30 min,"QC procedures were conducted for ERICA site-level administration and centralized coding of ERICA videos - <a href=""#qc"">expand infobox below for details →</a>",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables—especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers—to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.

The ERICA assesses variations in child behavior, parenting, and the caregiver-child relationship and should be interpreted within the context of the child's age and developmental stage. This is not a clinical or diagnostic instrument.",,,,,Integrated Analytic Dataset (REQUIRED),"Prior to analysis, you must create a final integrated analytic dataset by merging the reliability codes (<code>mh_cg_erica_rel_3_9m</code>) into the primary coding data (<code>mh_cg_erica_3_9m</code>). <b>Failure to integrate these data prior to analysis will result in incorrect results.</b> In future releases, this will not be necessary, as the integrated, analytic data set will be created prior to release.
See the <a href=""../ERICA_2.1_Integrated_Analytic_Data_INSTRUCTIONS.pdf"" target=""_blank"">Integration Instructions</a> PDF for details. Relevant participant lists can be downloaded from the <a href=""https://hbcd-docs-private.lassoinformatics.com"">HBCD Private Release Notes</a> (DUC access required), including <a href=""https://hbcd-docs-private.lassoinformatics.com/participant_lists/ERICA_2.1_DataError_EXCLUSIONS.csv""><code>ERICA_2.1_DataError_EXCLUSIONS.csv</code></a> and <a href=""https://hbcd-docs-private.lassoinformatics.com/participant_lists/ERICA_2.1_Analytic_REMOVALS.csv""><code>ERICA_2.1_Analytic_REMOVALS.csv</code></a>.",,"Data Release 2.1 includes data from ERICA administrations completed as part of HBCD study visit 3 (3–9 Month) as of July 1, 2025, utilizing the ERICA infant paradigm, which includes a prelocomotor (3–7 month) and locomotor protocol (7–9 month).",,Coded data for a subset of participants may be missing from this data release for various reasons. These data will be added in future releases.,,"The ERICA was administered in Spanish and English. The language of administration (i.e., language in which RAs delivered the instructions) does not always correspond with the language spoken by the caregiver/child during the activities. All videos in which the dyad speaks Spanish during the activities were coded by fully Spanish-English bilingual coders.",,"The code for ""caregiver irritable behavior"" in Data Release 2.1 has a low base rate because few caregivers exhibited elevated irritability. We recommend dichotomizing (0 = 0 and >0 = 1) for analysis.",
ecPROMIS - Physical Activity/Greenspace,,ecpromis_pags,,ecPROMIS - Physical Activity/Greenspace,Physical Health,ph_cg_pms__pags,Physical Activity,,"V04, V06",Parent Survey or Interview,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff or Self,,either,2 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification when needed, and data consistency.",,"The first 5 items are used to create a Physical Activity T-score, and the remaining 2 items are individually scored using the response options. <i>Note that the item-level PA scores are currently on a 0 to 4 scale and need to be converted to 1 to 5 prior to calculating summary scores.</i>

<a href=""../images/PROMIS_Physical_Activity_Scoring_Manual_06.01.2023%5B95%5D.pdf"" target=""_blank"">PROMIS® Physical Activity Scoring Manual</a>:
<img src=""../images/PA-scoring.png"" alt=""Physical Activity Scoring"" width=""70%"" height=""auto"" class=""center"">",,,,,,,,,,,,,,,,,
ecPROMIS - Sleep,,ecpromis_sleep,ecPROMIS - Sleep,ecPROMIS - Parent Report Sleep Problems,Physical Health,ph_cg_pms__sleep,Sleep,,"V04, V06",Parent Survey,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff or Self,,either,1 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification when needed, and data consistency.",,"The questions included in the HBCD protocol are the PROMIS Early Childhood Parent Report Sleep Problems - Short Form 8a. All questions must be answered in order to produce a valid score using the scoring tables provided. If a participant has skipped a question, use the <a href=""https://www.assessmentcenter.net/ac_scoringservice"">HealthMeasures Scoring Service</a> to generate a final score.

See additional/supplemental scoring document <a href=""https://drive.google.com/open?id=1ROIfz0CKm_kqa_CyrZDEMcKMnTqDXJe9"">here</a>.",,,,,,,,"Note that summary scores are currently absent from the release data and will be added in the future - see <a href=""../../../changelog/issues-updates/#pending-updates"" target=""_blank"">Pending Updates</a>.",,,,,,,,,
